"자치구별(1)","자치구별(2)","사고유형별(1)",사고유형별(2),구분별(1),2021
"합계","서초구","합계",소계,발생건수 (건),2118
"합계","서초구","합계",소계,사망자수 (명),8
"합계","서초구","합계",소계,부상자수 (명),2932
"합계","서초구","차대사람",소계,발생건수 (건),375
"합계","서초구","차대사람",소계,사망자수 (명),5
"합계","서초구","차대사람",소계,부상자수 (명),384
"합계","서초구","차대차",소계,발생건수 (건),1694
"합계","서초구","차대차",소계,사망자수 (명),3
"합계","서초구","차대차",소계,부상자수 (명),2495
"합계","서초구","차량단독",소계,발생건수 (건),49
"합계","서초구","차량단독",소계,사망자수 (명),-
"합계","서초구","차량단독",소계,부상자수 (명),53
"합계","강남구","합계",소계,발생건수 (건),3820
"합계","강남구","합계",소계,사망자수 (명),10
"합계","강남구","합계",소계,부상자수 (명),5175
"합계","강남구","차대사람",소계,발생건수 (건),659
"합계","강남구","차대사람",소계,사망자수 (명),6
"합계","강남구","차대사람",소계,부상자수 (명),687
"합계","강남구","차대차",소계,발생건수 (건),3103
"합계","강남구","차대차",소계,사망자수 (명),2
"합계","강남구","차대차",소계,부상자수 (명),4427
"합계","강남구","차량단독",소계,발생건수 (건),58
"합계","강남구","차량단독",소계,사망자수 (명),2
"합계","강남구","차량단독",소계,부상자수 (명),61
"합계","송파구","합계",소계,발생건수 (건),2607
"합계","송파구","합계",소계,사망자수 (명),14
"합계","송파구","합계",소계,부상자수 (명),3509
"합계","송파구","차대사람",소계,발생건수 (건),469
"합계","송파구","차대사람",소계,사망자수 (명),3
"합계","송파구","차대사람",소계,부상자수 (명),496
"합계","송파구","차대차",소계,발생건수 (건),2081
"합계","송파구","차대차",소계,사망자수 (명),10
"합계","송파구","차대차",소계,부상자수 (명),2953
"합계","송파구","차량단독",소계,발생건수 (건),57
"합계","송파구","차량단독",소계,사망자수 (명),1
"합계","송파구","차량단독",소계,부상자수 (명),60
"합계","강동구","합계",소계,발생건수 (건),1047
"합계","강동구","합계",소계,사망자수 (명),9
"합계","강동구","합계",소계,부상자수 (명),1413
"합계","강동구","차대사람",소계,발생건수 (건),242
"합계","강동구","차대사람",소계,사망자수 (명),7
"합계","강동구","차대사람",소계,부상자수 (명),241
"합계","강동구","차대차",소계,발생건수 (건),788
"합계","강동구","차대차",소계,사망자수 (명),2
"합계","강동구","차대차",소계,부상자수 (명),1152
"합계","강동구","차량단독",소계,발생건수 (건),17
"합계","강동구","차량단독",소계,사망자수 (명),-
"합계","강동구","차량단독",소계,부상자수 (명),
